incident_id,timestamp,stadium_id,zone_id,incident_type,severity,description,reported_by,ai_detected,ai_confidence,assigned_team,response_time_minutes,resolution_time_minutes,status
189,2026-04-06T00:10:00,3,38,Facility,Medium,HVAC failure in West box,Gate Supervisor,True,0.94,First Aid Squad A,23,104,Monitoring
190,2026-04-08T06:50:00,1,14,Ticket Fraud,High,Reported ticket fraud event details logged by staff,Gate Supervisor,False,0.0,Crowd Control Team 1,10,107,Closed
191,2026-04-07T22:47:00,1,16,Crowd,Medium,Gate rush attempts,CCTV Video Analytics,True,0.83,Fire Dispatch,13,110,Closed
192,2026-04-06T00:01:00,2,19,Crowd,Low,Slow moving crowd blockages,CCTV Video Analytics,True,0.9,Crowd Control Team 1,15,104,Resolved
193,2026-04-06T23:06:00,1,1,Security,Medium,Unauthorized restricted zone access,Spectator App,False,0.0,Crowd Control Team 1,21,94,Monitoring
194,2026-04-02T22:18:00,3,36,Missing Person,Medium,Reported missing person event details logged by staff,Steward #1402,False,0.0,First Aid Squad A,7,69,Closed
195,2026-04-01T13:28:00,3,39,Ticket Fraud,Critical,Reported ticket fraud event details logged by staff,Sensor Node AI,True,0.73,Guest Services Team,6,41,Responding
196,2026-04-06T09:15:00,1,12,Security,Low,Unruly fan behavior reported,Gate Supervisor,True,0.83,First Aid Squad A,13,57,Reported
197,2026-04-07T17:11:00,1,15,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Maintenance Crew Red,9,75,Reported
198,2026-04-06T16:57:00,3,40,Crowd,Medium,Gate rush attempts,Sensor Node AI,True,0.94,First Aid Squad A,29,60,Closed
199,2026-04-02T20:28:00,1,6,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Steward #1402,False,0.0,Maintenance Crew Red,23,16,Monitoring
200,2026-04-08T01:15:00,1,14,Facility,Low,Escalator 2 stopped operating,Gate Supervisor,True,0.94,Fire Dispatch,18,74,Assigned
201,2026-04-02T16:36:00,3,33,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Gate Supervisor,True,0.91,Fire Dispatch,25,33,Resolved
202,2026-04-07T07:16:00,2,23,Facility,Low,Floodlight panel flickering,CCTV Video Analytics,True,0.87,Security Patrol Beta,26,81,Assigned
203,2026-04-01T18:13:00,1,15,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Spectator App,True,0.96,Crowd Control Team 1,21,93,Reported
204,2026-04-08T08:12:00,3,40,Medical,Low,Heat exhaustion reported,Gate Supervisor,True,0.94,Crowd Control Team 1,5,74,Assigned
205,2026-04-04T23:40:00,3,38,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,CCTV Video Analytics,False,0.0,Security Patrol Beta,5,107,Responding
206,2026-04-08T05:54:00,3,40,Crowd,Medium,Slow moving crowd blockages,CCTV Video Analytics,True,0.89,Crowd Control Team 1,7,87,Monitoring
207,2026-04-02T09:43:00,2,17,Security,Low,Tailgating at outer perimeter,CCTV Video Analytics,False,0.0,Crowd Control Team 1,28,40,Resolved
208,2026-04-04T15:11:00,2,17,Facility,Critical,Water pipe leak in washroom B,Sensor Node AI,True,0.93,Guest Services Team,7,19,Responding
209,2026-04-06T01:51:00,3,40,Facility,Low,HVAC failure in West box,Sensor Node AI,False,0.0,Guest Services Team,29,52,Monitoring
210,2026-04-02T20:45:00,1,15,Medical,High,Visitor complaining of chest pain,Gate Supervisor,False,0.0,Fire Dispatch,9,60,Resolved
211,2026-04-03T02:13:00,1,16,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,CCTV Video Analytics,False,0.0,Guest Services Team,23,62,Monitoring
212,2026-04-04T23:12:00,1,3,Security,High,Tailgating at outer perimeter,Steward #1402,True,0.76,Security Patrol Beta,2,84,Resolved
213,2026-04-06T09:02:00,2,28,Missing Person,Low,Reported missing person event details logged by staff,Steward #1402,False,0.0,Security Patrol Beta,14,41,Reported
214,2026-04-04T03:30:00,2,18,Crowd,Low,Slow moving crowd blockages,Spectator App,True,0.75,Fire Dispatch,5,37,Closed
215,2026-04-05T00:07:00,2,29,Weather,Low,Reported weather event details logged by staff,Gate Supervisor,True,0.8,Crowd Control Team 1,15,59,Monitoring
216,2026-04-05T18:22:00,2,22,Crowd,Low,Congestion near turnstiles,Sensor Node AI,False,0.0,Crowd Control Team 1,28,120,Reported
217,2026-04-06T03:29:00,1,11,Security,Low,Unauthorized restricted zone access,Steward #1402,True,0.92,Guest Services Team,27,30,Assigned
218,2026-04-05T10:25:00,2,27,Missing Person,Low,Reported missing person event details logged by staff,Gate Supervisor,True,0.97,Security Patrol Beta,25,75,Assigned
219,2026-04-05T19:50:00,2,28,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Fire Dispatch,19,92,Reported
220,2026-04-03T19:36:00,1,1,Crowd,Medium,Gate rush attempts,Gate Supervisor,True,0.74,Crowd Control Team 1,15,110,Responding
221,2026-04-07T16:15:00,2,28,Medical,High,Dehydration in stand,Spectator App,False,0.0,Fire Dispatch,2,108,Reported
222,2026-04-05T09:09:00,2,19,Fire,Low,Heat alarm triggered in generator room,Gate Supervisor,False,0.0,Crowd Control Team 1,22,114,Verified
223,2026-04-05T13:12:00,3,36,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,CCTV Video Analytics,True,0.85,Maintenance Crew Red,10,91,Assigned
224,2026-04-03T09:53:00,3,32,Missing Person,High,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,Guest Services Team,8,19,Resolved
225,2026-04-07T05:12:00,1,15,Security,Low,Unruly fan behavior reported,Sensor Node AI,False,0.0,Security Patrol Beta,30,53,Responding
226,2026-04-05T23:20:00,1,1,Crowd,Low,Stairwell bottlenecks developing,Sensor Node AI,True,0.8,Crowd Control Team 1,6,78,Responding
227,2026-04-07T00:33:00,2,17,Facility,Critical,Escalator 2 stopped operating,Spectator App,True,0.84,Maintenance Crew Red,8,27,Assigned
228,2026-04-05T15:48:00,1,3,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Spectator App,False,0.0,First Aid Squad A,22,66,Reported
229,2026-04-04T14:59:00,1,5,Facility,Low,Floodlight panel flickering,Sensor Node AI,False,0.0,First Aid Squad A,13,53,Reported
230,2026-04-06T14:23:00,1,7,Weather,Low,Reported weather event details logged by staff,Spectator App,True,0.88,Guest Services Team,15,31,Responding
231,2026-04-02T15:57:00,1,12,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,Spectator App,True,0.77,Crowd Control Team 1,17,85,Closed
232,2026-04-08T10:07:00,2,21,Crowd,Medium,Slow moving crowd blockages,Spectator App,False,0.0,Maintenance Crew Red,22,54,Monitoring
233,2026-04-07T17:57:00,1,4,Missing Person,Low,Reported missing person event details logged by staff,Sensor Node AI,True,0.84,Guest Services Team,5,70,Closed
234,2026-04-04T18:25:00,2,24,Medical,Medium,Visitor complaining of chest pain,Steward #1402,False,0.0,Security Patrol Beta,20,66,Responding
235,2026-04-04T21:13:00,2,24,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,Security Patrol Beta,15,33,Verified
236,2026-04-06T22:23:00,2,17,Fire,Low,Heat alarm triggered in generator room,Gate Supervisor,False,0.0,Crowd Control Team 1,30,25,Responding
237,2026-04-06T19:07:00,2,26,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,CCTV Video Analytics,True,0.97,Guest Services Team,24,72,Resolved
238,2026-04-05T15:09:00,2,23,Fire,Medium,Small electrical spark in junction box,CCTV Video Analytics,True,0.81,Guest Services Team,9,80,Responding
239,2026-04-04T00:42:00,3,34,Medical,Low,Dehydration in stand,CCTV Video Analytics,True,0.82,Crowd Control Team 1,5,46,Resolved
240,2026-04-02T17:31:00,1,11,Security,Medium,Unruly fan behavior reported,Gate Supervisor,False,0.0,Security Patrol Beta,15,33,Assigned
241,2026-04-03T01:05:00,2,17,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Gate Supervisor,True,0.96,Fire Dispatch,9,111,Verified
242,2026-04-02T13:13:00,1,3,Security,Low,Verbal alteration between fans,Gate Supervisor,True,0.81,Fire Dispatch,27,89,Responding
243,2026-04-01T14:22:00,2,30,Facility,Low,Water pipe leak in washroom B,CCTV Video Analytics,True,0.95,Maintenance Crew Red,8,38,Verified
244,2026-04-07T16:08:00,1,1,Medical,Low,Minor cuts and bruises,Steward #1402,False,0.0,Fire Dispatch,20,65,Closed
245,2026-04-02T08:42:00,1,5,Security,Medium,Tailgating at outer perimeter,Spectator App,True,0.86,Crowd Control Team 1,21,66,Responding
246,2026-04-06T08:33:00,3,37,Weather,Medium,Reported weather event details logged by staff,Sensor Node AI,True,0.77,Security Patrol Beta,27,115,Monitoring
247,2026-04-01T15:57:00,2,28,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,First Aid Squad A,5,99,Verified
248,2026-04-02T14:29:00,3,33,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,True,0.89,Guest Services Team,5,117,Responding
249,2026-04-02T21:36:00,2,21,Medical,Medium,Visitor complaining of chest pain,Spectator App,True,0.84,Fire Dispatch,24,58,Verified
250,2026-04-03T14:04:00,1,12,Weather,Medium,Reported weather event details logged by staff,CCTV Video Analytics,False,0.0,First Aid Squad A,29,59,Responding
251,2026-04-01T12:31:00,2,19,Medical,Low,Sprained ankle on steps,Spectator App,True,0.7,Fire Dispatch,16,60,Responding
252,2026-04-07T00:41:00,2,28,Medical,Low,Heat exhaustion reported,Spectator App,True,0.92,Crowd Control Team 1,23,23,Responding
253,2026-04-02T21:14:00,3,35,Weather,Medium,Reported weather event details logged by staff,CCTV Video Analytics,True,0.85,First Aid Squad A,21,99,Assigned
254,2026-04-04T19:33:00,1,1,Missing Person,Low,Reported missing person event details logged by staff,CCTV Video Analytics,True,0.86,Security Patrol Beta,22,69,Responding
255,2026-04-03T08:58:00,2,28,Facility,Medium,Escalator 2 stopped operating,Steward #1402,False,0.0,Maintenance Crew Red,29,21,Verified
256,2026-04-01T16:54:00,2,28,Facility,Low,Escalator 2 stopped operating,Steward #1402,False,0.0,First Aid Squad A,22,42,Verified
257,2026-04-07T19:15:00,3,37,Suspicious Activity,High,Reported suspicious activity event details logged by staff,Spectator App,True,0.96,Fire Dispatch,7,28,Resolved
258,2026-04-02T20:09:00,1,10,Fire,High,Smoke detected near food court kitchen,Gate Supervisor,True,0.89,Guest Services Team,6,37,Monitoring
259,2026-04-03T00:27:00,1,13,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,True,0.77,Crowd Control Team 1,22,56,Assigned
260,2026-04-05T01:13:00,1,2,Crowd,Low,Stairwell bottlenecks developing,Spectator App,True,0.83,Security Patrol Beta,25,57,Closed
261,2026-04-04T05:12:00,2,29,Security,Low,Verbal alteration between fans,Sensor Node AI,True,0.83,Fire Dispatch,12,69,Resolved
262,2026-04-07T12:37:00,3,35,Security,Medium,Unruly fan behavior reported,Steward #1402,False,0.0,Crowd Control Team 1,20,90,Verified
263,2026-04-04T16:02:00,2,21,Crowd,Low,Stairwell bottlenecks developing,Steward #1402,False,0.0,Crowd Control Team 1,22,60,Assigned
264,2026-04-04T00:27:00,2,21,Security,Medium,Unauthorized restricted zone access,CCTV Video Analytics,False,0.0,Maintenance Crew Red,14,76,Assigned
265,2026-04-05T02:31:00,1,4,Weather,Low,Reported weather event details logged by staff,Spectator App,True,0.8,Fire Dispatch,17,93,Monitoring
266,2026-04-04T14:42:00,2,18,Missing Person,Medium,Reported missing person event details logged by staff,Steward #1402,False,0.0,Maintenance Crew Red,11,37,Responding
267,2026-04-07T16:20:00,1,10,Security,Medium,Unruly fan behavior reported,CCTV Video Analytics,False,0.0,Guest Services Team,6,63,Reported
268,2026-04-05T02:19:00,1,16,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Gate Supervisor,False,0.0,First Aid Squad A,6,46,Responding
269,2026-04-04T11:15:00,2,19,Fire,Medium,Trash bin smoldering,CCTV Video Analytics,False,0.0,Fire Dispatch,26,111,Monitoring
270,2026-04-03T02:13:00,2,30,Weather,Low,Reported weather event details logged by staff,Sensor Node AI,True,0.87,Guest Services Team,14,84,Assigned
271,2026-04-03T09:14:00,1,13,Crowd,Low,Congestion near turnstiles,CCTV Video Analytics,False,0.0,Fire Dispatch,8,92,Responding
272,2026-04-08T02:10:00,1,16,Suspicious Activity,Critical,Reported suspicious activity event details logged by staff,CCTV Video Analytics,False,0.0,Guest Services Team,10,37,Reported
273,2026-04-08T04:10:00,3,32,Fire,Medium,Trash bin smoldering,Sensor Node AI,False,0.0,Crowd Control Team 1,8,60,Responding
274,2026-04-05T10:35:00,3,35,Fire,Low,Small electrical spark in junction box,Steward #1402,True,0.78,Crowd Control Team 1,18,104,Reported
275,2026-04-07T19:39:00,3,39,Facility,Medium,HVAC failure in West box,CCTV Video Analytics,True,0.72,Guest Services Team,20,68,Assigned
276,2026-04-08T02:17:00,3,38,Weather,Low,Reported weather event details logged by staff,Spectator App,True,0.86,Maintenance Crew Red,18,89,Reported
277,2026-04-02T06:31:00,2,20,Medical,Low,Dehydration in stand,Sensor Node AI,True,0.79,Security Patrol Beta,7,88,Reported
278,2026-04-07T12:39:00,1,9,Medical,Medium,Heat exhaustion reported,Spectator App,False,0.0,First Aid Squad A,19,91,Resolved
279,2026-04-05T10:02:00,1,14,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Gate Supervisor,True,0.83,Crowd Control Team 1,12,38,Assigned
280,2026-04-01T20:13:00,1,1,Security,Medium,Unauthorized restricted zone access,Spectator App,False,0.0,Crowd Control Team 1,12,111,Verified
281,2026-04-07T19:46:00,1,12,Fire,Low,Heat alarm triggered in generator room,CCTV Video Analytics,True,0.86,Fire Dispatch,24,79,Monitoring
282,2026-04-07T05:54:00,1,9,Weather,Low,Reported weather event details logged by staff,Steward #1402,True,0.81,Guest Services Team,6,68,Closed
283,2026-04-05T07:23:00,1,16,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Sensor Node AI,True,0.92,First Aid Squad A,27,79,Responding
284,2026-04-03T16:57:00,2,17,Fire,Low,Heat alarm triggered in generator room,Gate Supervisor,False,0.0,Crowd Control Team 1,24,75,Verified
285,2026-04-01T19:39:00,3,36,Missing Person,Low,Reported missing person event details logged by staff,Gate Supervisor,False,0.0,Maintenance Crew Red,28,48,Responding
286,2026-04-06T11:47:00,1,13,Medical,Low,Sprained ankle on steps,Steward #1402,True,0.93,Crowd Control Team 1,6,45,Closed
287,2026-04-07T14:36:00,1,12,Weather,Low,Reported weather event details logged by staff,Steward #1402,False,0.0,Security Patrol Beta,7,54,Assigned
288,2026-04-04T17:00:00,2,25,Crowd,Low,Stairwell bottlenecks developing,Gate Supervisor,False,0.0,Security Patrol Beta,15,39,Resolved
289,2026-04-07T10:01:00,1,9,Weather,Low,Reported weather event details logged by staff,Gate Supervisor,True,0.82,First Aid Squad A,28,73,Monitoring
290,2026-04-02T00:19:00,2,22,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Sensor Node AI,False,0.0,Guest Services Team,26,72,Assigned
291,2026-04-06T14:59:00,2,29,Facility,Low,Water pipe leak in washroom B,Spectator App,False,0.0,Maintenance Crew Red,9,31,Responding
292,2026-04-08T08:55:00,2,19,Security,Medium,Unauthorized restricted zone access,Spectator App,False,0.0,Maintenance Crew Red,27,118,Closed
293,2026-04-04T04:23:00,1,12,Fire,Low,Smoke detected near food court kitchen,Gate Supervisor,True,0.72,Crowd Control Team 1,28,50,Assigned
294,2026-04-07T19:40:00,3,33,Missing Person,Low,Reported missing person event details logged by staff,Steward #1402,False,0.0,Guest Services Team,22,30,Closed
295,2026-04-08T01:10:00,2,19,Crowd,Medium,Gate rush attempts,Gate Supervisor,False,0.0,Crowd Control Team 1,14,116,Responding
296,2026-04-02T13:41:00,1,13,Security,Low,Tailgating at outer perimeter,CCTV Video Analytics,False,0.0,Maintenance Crew Red,20,74,Reported
297,2026-04-07T15:38:00,2,20,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Steward #1402,False,0.0,First Aid Squad A,20,44,Assigned
298,2026-04-07T12:38:00,2,21,Fire,Low,Trash bin smoldering,CCTV Video Analytics,False,0.0,Maintenance Crew Red,23,89,Responding
299,2026-04-02T05:39:00,2,29,Medical,Low,Minor cuts and bruises,Gate Supervisor,False,0.0,Security Patrol Beta,17,108,Monitoring
300,2026-04-07T19:02:00,1,6,Crowd,Low,Stairwell bottlenecks developing,CCTV Video Analytics,False,0.0,Security Patrol Beta,11,76,Verified
301,2026-04-01T13:47:00,2,26,Fire,Low,Smoke detected near food court kitchen,Gate Supervisor,False,0.0,Fire Dispatch,18,21,Reported
302,2026-04-03T02:17:00,1,8,Medical,High,Minor cuts and bruises,Gate Supervisor,False,0.0,Guest Services Team,5,63,Responding
303,2026-04-06T05:30:00,3,38,Missing Person,Medium,Reported missing person event details logged by staff,CCTV Video Analytics,False,0.0,Security Patrol Beta,6,20,Verified
304,2026-04-05T18:53:00,2,26,Facility,Low,Escalator 2 stopped operating,Sensor Node AI,False,0.0,Crowd Control Team 1,15,24,Assigned
305,2026-04-03T21:36:00,3,39,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Guest Services Team,13,35,Resolved
306,2026-04-08T09:44:00,2,28,Security,High,Unruly fan behavior reported,Steward #1402,False,0.0,Security Patrol Beta,6,118,Resolved
307,2026-04-01T13:10:00,2,20,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,Gate Supervisor,False,0.0,Security Patrol Beta,17,120,Reported
308,2026-04-04T04:04:00,2,22,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Spectator App,True,0.73,Maintenance Crew Red,28,96,Resolved
309,2026-04-07T11:55:00,3,38,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Steward #1402,True,0.92,Maintenance Crew Red,22,120,Verified
310,2026-04-03T07:08:00,2,25,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Spectator App,True,0.94,First Aid Squad A,6,93,Closed
311,2026-04-06T14:51:00,2,20,Facility,High,Water pipe leak in washroom B,Steward #1402,False,0.0,Fire Dispatch,10,90,Responding
312,2026-04-03T21:50:00,2,26,Security,Low,Unruly fan behavior reported,Sensor Node AI,True,0.86,Fire Dispatch,7,116,Closed
313,2026-04-01T15:10:00,3,37,Weather,Low,Reported weather event details logged by staff,Steward #1402,True,0.74,First Aid Squad A,13,60,Verified
314,2026-04-04T08:49:00,3,33,Security,Low,Unauthorized restricted zone access,CCTV Video Analytics,True,0.74,First Aid Squad A,10,18,Resolved
315,2026-04-06T11:51:00,1,7,Weather,Low,Reported weather event details logged by staff,Gate Supervisor,True,0.82,Fire Dispatch,23,107,Responding
316,2026-04-04T14:17:00,3,31,Medical,Medium,Sprained ankle on steps,CCTV Video Analytics,True,0.73,Crowd Control Team 1,22,115,Reported
317,2026-04-07T18:30:00,1,10,Security,Low,Unauthorized restricted zone access,Spectator App,False,0.0,Guest Services Team,15,109,Monitoring
318,2026-04-02T04:51:00,2,26,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,Sensor Node AI,False,0.0,Fire Dispatch,17,92,Closed
319,2026-04-05T20:42:00,2,21,Crowd,Low,Congestion near turnstiles,Steward #1402,True,0.81,Maintenance Crew Red,23,60,Monitoring
320,2026-04-02T00:10:00,3,34,Crowd,Low,Slow moving crowd blockages,Spectator App,True,0.97,Security Patrol Beta,13,20,Reported
321,2026-04-07T20:52:00,3,32,Weather,Low,Reported weather event details logged by staff,Steward #1402,False,0.0,Maintenance Crew Red,19,59,Monitoring
322,2026-04-07T05:48:00,2,21,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Spectator App,False,0.0,Crowd Control Team 1,7,26,Responding
323,2026-04-04T00:49:00,1,6,Weather,Low,Reported weather event details logged by staff,Spectator App,False,0.0,Security Patrol Beta,8,55,Reported
324,2026-04-01T20:24:00,3,31,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Spectator App,True,0.93,Security Patrol Beta,29,78,Monitoring
325,2026-04-03T16:44:00,2,26,Fire,Low,Small electrical spark in junction box,Gate Supervisor,True,0.95,Fire Dispatch,25,87,Resolved
326,2026-04-03T21:36:00,3,31,Crowd,Low,Gate rush attempts,Gate Supervisor,False,0.0,Security Patrol Beta,6,84,Monitoring
327,2026-04-07T15:15:00,3,32,Missing Person,Medium,Reported missing person event details logged by staff,Steward #1402,True,0.92,First Aid Squad A,25,18,Verified
328,2026-04-06T02:36:00,1,16,Ticket Fraud,Medium,Reported ticket fraud event details logged by staff,CCTV Video Analytics,False,0.0,Fire Dispatch,27,97,Verified
329,2026-04-07T22:15:00,1,14,Security,Low,Unauthorized restricted zone access,Gate Supervisor,True,0.93,First Aid Squad A,18,43,Assigned
330,2026-04-03T20:04:00,2,24,Weather,Medium,Reported weather event details logged by staff,Sensor Node AI,True,0.94,First Aid Squad A,5,28,Resolved
331,2026-04-03T04:45:00,1,11,Fire,Low,Heat alarm triggered in generator room,Gate Supervisor,True,0.86,Crowd Control Team 1,28,57,Verified
332,2026-04-06T20:02:00,1,2,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Sensor Node AI,False,0.0,Security Patrol Beta,8,118,Resolved
333,2026-04-08T06:57:00,1,16,Missing Person,Low,Reported missing person event details logged by staff,Spectator App,True,0.84,Maintenance Crew Red,24,111,Assigned
334,2026-04-02T04:59:00,2,24,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Sensor Node AI,True,0.73,Fire Dispatch,7,88,Verified
335,2026-04-05T12:56:00,3,39,Crowd,Low,Congestion near turnstiles,Sensor Node AI,True,0.78,Guest Services Team,30,87,Monitoring
336,2026-04-07T12:25:00,2,23,Security,Medium,Verbal alteration between fans,Gate Supervisor,True,0.9,First Aid Squad A,10,102,Verified
337,2026-04-05T07:13:00,1,6,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,Guest Services Team,14,31,Verified
338,2026-04-07T16:15:00,1,14,Medical,Low,Sprained ankle on steps,Spectator App,False,0.0,First Aid Squad A,10,108,Assigned
339,2026-04-03T15:41:00,1,10,Missing Person,High,Reported missing person event details logged by staff,Gate Supervisor,True,0.71,Security Patrol Beta,4,103,Monitoring
340,2026-04-04T23:20:00,2,24,Crowd,Low,Slow moving crowd blockages,Gate Supervisor,False,0.0,Fire Dispatch,11,27,Verified
341,2026-04-06T06:35:00,1,1,Facility,Medium,Floodlight panel flickering,CCTV Video Analytics,False,0.0,Guest Services Team,19,82,Responding
342,2026-04-07T10:52:00,1,9,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,CCTV Video Analytics,True,0.75,Security Patrol Beta,10,54,Verified
343,2026-04-07T15:28:00,1,7,Crowd,Medium,Congestion near turnstiles,Spectator App,True,0.79,Fire Dispatch,26,119,Responding
344,2026-04-05T10:09:00,1,15,Security,Low,Verbal alteration between fans,Spectator App,False,0.0,Maintenance Crew Red,20,70,Monitoring
345,2026-04-03T22:09:00,2,18,Weather,Low,Reported weather event details logged by staff,Steward #1402,False,0.0,Crowd Control Team 1,23,117,Verified
346,2026-04-07T23:21:00,1,13,Crowd,Low,Congestion near turnstiles,Steward #1402,True,0.91,Fire Dispatch,12,115,Responding
347,2026-04-02T08:31:00,1,12,Fire,Medium,Smoke detected near food court kitchen,Spectator App,True,0.93,Fire Dispatch,6,55,Assigned
348,2026-04-05T10:14:00,1,6,Facility,Low,Floodlight panel flickering,CCTV Video Analytics,True,0.73,Crowd Control Team 1,18,86,Reported
349,2026-04-07T15:04:00,3,33,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Steward #1402,False,0.0,Fire Dispatch,5,53,Closed
350,2026-04-05T06:33:00,2,30,Medical,Low,Minor cuts and bruises,Gate Supervisor,True,0.72,Maintenance Crew Red,16,42,Monitoring
351,2026-04-05T17:55:00,2,29,Weather,Low,Reported weather event details logged by staff,Sensor Node AI,True,0.8,Crowd Control Team 1,27,115,Verified
352,2026-04-02T18:16:00,1,13,Weather,Low,Reported weather event details logged by staff,Spectator App,True,0.79,First Aid Squad A,25,84,Resolved
353,2026-04-05T09:11:00,3,37,Medical,Low,Minor cuts and bruises,Steward #1402,False,0.0,First Aid Squad A,18,119,Resolved
354,2026-04-04T12:13:00,1,7,Missing Person,Medium,Reported missing person event details logged by staff,Spectator App,True,0.96,Fire Dispatch,15,74,Resolved
355,2026-04-07T10:07:00,3,37,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Steward #1402,False,0.0,First Aid Squad A,5,27,Resolved
356,2026-04-03T17:53:00,1,14,Missing Person,Medium,Reported missing person event details logged by staff,Gate Supervisor,True,0.76,Maintenance Crew Red,11,94,Reported
357,2026-04-04T07:57:00,1,3,Missing Person,Low,Reported missing person event details logged by staff,Steward #1402,False,0.0,Guest Services Team,28,49,Resolved
358,2026-04-02T12:23:00,3,36,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Sensor Node AI,False,0.0,Crowd Control Team 1,6,120,Monitoring
359,2026-04-04T13:26:00,1,11,Fire,Medium,Heat alarm triggered in generator room,Steward #1402,True,0.87,Crowd Control Team 1,16,115,Reported
360,2026-04-04T21:58:00,2,23,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Sensor Node AI,False,0.0,First Aid Squad A,15,55,Responding
361,2026-04-04T17:23:00,2,24,Fire,Low,Trash bin smoldering,Steward #1402,True,0.83,Fire Dispatch,10,39,Verified
362,2026-04-02T06:47:00,3,38,Fire,Medium,Smoke detected near food court kitchen,Gate Supervisor,True,0.93,Fire Dispatch,5,96,Closed
363,2026-04-05T06:08:00,2,28,Weather,Low,Reported weather event details logged by staff,Sensor Node AI,True,0.74,Fire Dispatch,22,112,Resolved
364,2026-04-04T01:34:00,2,23,Fire,High,Heat alarm triggered in generator room,Gate Supervisor,False,0.0,Security Patrol Beta,4,55,Closed
365,2026-04-02T23:09:00,2,17,Crowd,Low,Slow moving crowd blockages,Sensor Node AI,True,0.78,First Aid Squad A,30,103,Assigned
366,2026-04-05T07:59:00,3,34,Weather,Medium,Reported weather event details logged by staff,CCTV Video Analytics,False,0.0,Guest Services Team,17,60,Monitoring
367,2026-04-04T23:36:00,1,14,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Security Patrol Beta,22,118,Closed
368,2026-04-03T01:38:00,2,23,Crowd,Medium,Stairwell bottlenecks developing,Steward #1402,True,0.83,Security Patrol Beta,5,18,Assigned
369,2026-04-06T01:01:00,1,13,Security,Low,Tailgating at outer perimeter,Steward #1402,False,0.0,Crowd Control Team 1,11,56,Monitoring
370,2026-04-06T23:54:00,3,39,Missing Person,High,Reported missing person event details logged by staff,CCTV Video Analytics,True,0.73,Security Patrol Beta,3,78,Responding
371,2026-04-06T13:35:00,1,3,Weather,Low,Reported weather event details logged by staff,CCTV Video Analytics,False,0.0,Crowd Control Team 1,12,93,Resolved
372,2026-04-05T23:40:00,1,12,Facility,High,Escalator 2 stopped operating,Steward #1402,True,0.88,Crowd Control Team 1,4,103,Reported
373,2026-04-05T10:03:00,2,17,Facility,Low,Floodlight panel flickering,Sensor Node AI,False,0.0,Crowd Control Team 1,8,64,Verified
374,2026-04-07T11:04:00,3,36,Security,Critical,Tailgating at outer perimeter,Spectator App,True,0.91,Security Patrol Beta,3,43,Reported
375,2026-04-01T21:08:00,3,34,Missing Person,Low,Reported missing person event details logged by staff,Gate Supervisor,True,0.72,First Aid Squad A,14,110,Closed
376,2026-04-06T17:36:00,1,13,Weather,High,Reported weather event details logged by staff,Sensor Node AI,True,0.98,Guest Services Team,5,37,Reported
377,2026-04-01T23:18:00,2,28,Medical,High,Heat exhaustion reported,Sensor Node AI,True,0.83,Crowd Control Team 1,6,44,Reported
