assignment_id,staff_id,shift_id,zone_id,task_description,status
935,1491,217,5,Perform Security duties in assigned zone area.,Completed
936,286,217,26,Perform Security duties in assigned zone area.,Completed
937,517,107,39,Perform Security duties in assigned zone area.,In Progress
938,1368,102,19,Perform Crowd Control duties in assigned zone area.,Completed
939,969,142,35,Perform Security duties in assigned zone area.,In Progress
940,108,128,6,Perform Facilities duties in assigned zone area.,In Progress
941,237,177,36,Perform Facilities duties in assigned zone area.,Completed
942,885,230,9,Perform Guest Services duties in assigned zone area.,Scheduled
943,678,187,34,Perform Security duties in assigned zone area.,In Progress
944,292,195,17,Perform Crowd Control duties in assigned zone area.,Scheduled
945,310,102,20,Perform Administration duties in assigned zone area.,In Progress
946,1413,117,21,Perform Medical duties in assigned zone area.,In Progress
947,625,130,28,Perform Security duties in assigned zone area.,In Progress
948,1098,197,16,Perform Facilities duties in assigned zone area.,In Progress
949,1351,123,19,Perform Administration duties in assigned zone area.,In Progress
950,1022,128,16,Perform Guest Services duties in assigned zone area.,In Progress
951,1055,226,15,Perform Crowd Control duties in assigned zone area.,Completed
952,1459,142,26,Perform Medical duties in assigned zone area.,Completed
953,1098,145,29,Perform Facilities duties in assigned zone area.,In Progress
954,534,179,16,Perform Medical duties in assigned zone area.,Completed
955,332,168,22,Perform Security duties in assigned zone area.,Completed
956,1042,206,5,Perform Guest Services duties in assigned zone area.,In Progress
957,448,173,35,Perform Guest Services duties in assigned zone area.,Completed
958,885,213,25,Perform Guest Services duties in assigned zone area.,Completed
959,1104,183,30,Perform Medical duties in assigned zone area.,In Progress
960,438,235,9,Perform Guest Services duties in assigned zone area.,In Progress
961,451,219,33,Perform Security duties in assigned zone area.,In Progress
962,1085,196,34,Perform Security duties in assigned zone area.,In Progress
963,1007,208,29,Perform Crowd Control duties in assigned zone area.,Completed
964,718,173,20,Perform Security duties in assigned zone area.,In Progress
965,1195,186,16,Perform Facilities duties in assigned zone area.,Completed
966,1350,228,32,Perform Administration duties in assigned zone area.,In Progress
967,459,198,24,Perform Administration duties in assigned zone area.,Scheduled
968,850,159,5,Perform Crowd Control duties in assigned zone area.,In Progress
969,560,139,30,Perform Security duties in assigned zone area.,Absent
970,333,223,27,Perform Security duties in assigned zone area.,In Progress
971,755,128,11,Perform Medical duties in assigned zone area.,In Progress
972,389,110,38,Perform Medical duties in assigned zone area.,Completed
973,331,222,6,Perform Crowd Control duties in assigned zone area.,In Progress
974,1437,245,8,Perform Crowd Control duties in assigned zone area.,In Progress
975,129,215,10,Perform Security duties in assigned zone area.,Completed
976,1111,183,30,Perform Administration duties in assigned zone area.,In Progress
977,1374,147,13,Perform Medical duties in assigned zone area.,Scheduled
978,55,230,19,Perform Crowd Control duties in assigned zone area.,Scheduled
979,1449,166,26,Perform Administration duties in assigned zone area.,Completed
980,879,127,27,Perform Guest Services duties in assigned zone area.,In Progress
981,1128,216,35,Perform Security duties in assigned zone area.,In Progress
982,520,133,28,Perform Crowd Control duties in assigned zone area.,In Progress
983,901,219,34,Perform Medical duties in assigned zone area.,In Progress
984,393,172,12,Perform Crowd Control duties in assigned zone area.,In Progress
985,886,186,12,Perform Security duties in assigned zone area.,Completed
986,1436,235,31,Perform Facilities duties in assigned zone area.,Scheduled
987,1410,230,36,Perform Medical duties in assigned zone area.,In Progress
988,1443,137,3,Perform Facilities duties in assigned zone area.,In Progress
989,866,209,19,Perform Medical duties in assigned zone area.,Completed
990,521,215,24,Perform Security duties in assigned zone area.,In Progress
991,1427,245,15,Perform Crowd Control duties in assigned zone area.,Completed
992,974,148,20,Perform Administration duties in assigned zone area.,Completed
993,767,138,18,Perform Facilities duties in assigned zone area.,In Progress
994,902,180,35,Perform Facilities duties in assigned zone area.,In Progress
995,1195,114,28,Perform Facilities duties in assigned zone area.,Scheduled
996,1123,232,7,Perform Medical duties in assigned zone area.,In Progress
997,621,115,33,Perform Guest Services duties in assigned zone area.,In Progress
998,1016,182,25,Perform Facilities duties in assigned zone area.,In Progress
999,537,189,37,Perform Guest Services duties in assigned zone area.,Completed
1000,1022,131,24,Perform Guest Services duties in assigned zone area.,In Progress
1001,778,135,36,Perform Crowd Control duties in assigned zone area.,In Progress
1002,531,215,16,Perform Facilities duties in assigned zone area.,Completed
1003,880,146,20,Perform Crowd Control duties in assigned zone area.,In Progress
1004,1300,199,33,Perform Facilities duties in assigned zone area.,In Progress
1005,552,108,28,Perform Crowd Control duties in assigned zone area.,Completed
1006,890,139,22,Perform Security duties in assigned zone area.,In Progress
1007,334,109,2,Perform Medical duties in assigned zone area.,In Progress
1008,34,129,37,Perform Facilities duties in assigned zone area.,Completed
1009,870,227,15,Perform Medical duties in assigned zone area.,Completed
1010,1095,223,8,Perform Administration duties in assigned zone area.,Scheduled
1011,1289,196,33,Perform Administration duties in assigned zone area.,Completed
1012,843,192,25,Perform Guest Services duties in assigned zone area.,Completed
1013,1327,222,33,Perform Guest Services duties in assigned zone area.,In Progress
1014,370,164,17,Perform Crowd Control duties in assigned zone area.,In Progress
1015,1418,193,11,Perform Security duties in assigned zone area.,Scheduled
1016,253,214,35,Perform Facilities duties in assigned zone area.,In Progress
1017,398,153,13,Perform Crowd Control duties in assigned zone area.,In Progress
1018,563,108,8,Perform Crowd Control duties in assigned zone area.,In Progress
1019,356,117,26,Perform Crowd Control duties in assigned zone area.,Completed
1020,1343,135,6,Perform Guest Services duties in assigned zone area.,Completed
1021,164,140,33,Perform Facilities duties in assigned zone area.,In Progress
1022,1355,167,23,Perform Security duties in assigned zone area.,In Progress
1023,1042,170,40,Perform Guest Services duties in assigned zone area.,Completed
1024,132,158,26,Perform Facilities duties in assigned zone area.,In Progress
1025,1392,206,17,Perform Guest Services duties in assigned zone area.,In Progress
1026,1189,166,18,Perform Medical duties in assigned zone area.,Scheduled
1027,185,126,7,Perform Administration duties in assigned zone area.,Completed
1028,839,196,34,Perform Medical duties in assigned zone area.,Scheduled
1029,1346,137,18,Perform Crowd Control duties in assigned zone area.,Completed
1030,1137,194,39,Perform Crowd Control duties in assigned zone area.,In Progress
1031,446,145,23,Perform Security duties in assigned zone area.,Completed
1032,816,177,13,Perform Crowd Control duties in assigned zone area.,Completed
1033,379,212,28,Perform Guest Services duties in assigned zone area.,Scheduled
1034,802,187,18,Perform Security duties in assigned zone area.,In Progress
1035,353,188,8,Perform Medical duties in assigned zone area.,Completed
1036,1172,189,35,Perform Facilities duties in assigned zone area.,In Progress
1037,1426,242,1,Perform Facilities duties in assigned zone area.,Completed
1038,1118,247,22,Perform Medical duties in assigned zone area.,Absent
1039,1179,128,10,Perform Administration duties in assigned zone area.,Completed
1040,291,192,15,Perform Facilities duties in assigned zone area.,Completed
1041,606,104,40,Perform Facilities duties in assigned zone area.,In Progress
1042,312,135,16,Perform Guest Services duties in assigned zone area.,Scheduled
1043,911,137,29,Perform Administration duties in assigned zone area.,Completed
1044,415,131,1,Perform Guest Services duties in assigned zone area.,Completed
1045,395,125,6,Perform Facilities duties in assigned zone area.,In Progress
1046,1312,140,30,Perform Guest Services duties in assigned zone area.,Completed
1047,1208,167,7,Perform Facilities duties in assigned zone area.,Scheduled
1048,241,235,9,Perform Security duties in assigned zone area.,Completed
1049,539,144,10,Perform Security duties in assigned zone area.,In Progress
1050,1352,170,36,Perform Medical duties in assigned zone area.,Completed
1051,1231,199,28,Perform Crowd Control duties in assigned zone area.,Completed
1052,1066,216,36,Perform Crowd Control duties in assigned zone area.,Scheduled
1053,423,159,18,Perform Security duties in assigned zone area.,Completed
1054,586,241,19,Perform Guest Services duties in assigned zone area.,Completed
1055,870,215,37,Perform Medical duties in assigned zone area.,Completed
1056,667,221,38,Perform Medical duties in assigned zone area.,In Progress
1057,887,218,20,Perform Guest Services duties in assigned zone area.,Completed
1058,414,246,8,Perform Medical duties in assigned zone area.,Scheduled
1059,1462,180,13,Perform Security duties in assigned zone area.,Completed
1060,1263,211,7,Perform Facilities duties in assigned zone area.,Completed
1061,617,186,12,Perform Guest Services duties in assigned zone area.,In Progress
1062,1439,128,15,Perform Crowd Control duties in assigned zone area.,Scheduled
1063,1255,133,12,Perform Administration duties in assigned zone area.,Scheduled
1064,370,205,25,Perform Crowd Control duties in assigned zone area.,Completed
1065,695,174,39,Perform Crowd Control duties in assigned zone area.,In Progress
1066,684,103,24,Perform Administration duties in assigned zone area.,In Progress
1067,1485,171,32,Perform Facilities duties in assigned zone area.,Completed
1068,151,110,22,Perform Crowd Control duties in assigned zone area.,In Progress
1069,431,135,35,Perform Administration duties in assigned zone area.,Completed
1070,1004,222,2,Perform Guest Services duties in assigned zone area.,In Progress
1071,828,236,11,Perform Administration duties in assigned zone area.,Completed
1072,3,233,11,Perform Medical duties in assigned zone area.,In Progress
1073,839,155,2,Perform Medical duties in assigned zone area.,Completed
1074,877,120,15,Perform Security duties in assigned zone area.,Completed
1075,662,161,20,Perform Facilities duties in assigned zone area.,Completed
1076,987,150,6,Perform Guest Services duties in assigned zone area.,Completed
1077,977,190,11,Perform Security duties in assigned zone area.,In Progress
1078,1403,236,23,Perform Crowd Control duties in assigned zone area.,In Progress
1079,198,120,3,Perform Medical duties in assigned zone area.,Completed
1080,1150,169,21,Perform Guest Services duties in assigned zone area.,Completed
1081,214,112,19,Perform Guest Services duties in assigned zone area.,In Progress
1082,458,205,22,Perform Medical duties in assigned zone area.,Completed
1083,574,125,22,Perform Guest Services duties in assigned zone area.,Completed
1084,1188,224,23,Perform Security duties in assigned zone area.,Scheduled
1085,472,102,35,Perform Guest Services duties in assigned zone area.,Completed
1086,580,180,5,Perform Crowd Control duties in assigned zone area.,In Progress
1087,932,107,7,Perform Guest Services duties in assigned zone area.,Scheduled
1088,1397,118,24,Perform Guest Services duties in assigned zone area.,In Progress
1089,1182,158,31,Perform Guest Services duties in assigned zone area.,Completed
1090,623,198,7,Perform Facilities duties in assigned zone area.,Completed
1091,1268,223,36,Perform Medical duties in assigned zone area.,Completed
1092,99,234,25,Perform Facilities duties in assigned zone area.,Completed
1093,856,181,27,Perform Security duties in assigned zone area.,In Progress
1094,1000,141,36,Perform Crowd Control duties in assigned zone area.,Completed
1095,311,113,14,Perform Administration duties in assigned zone area.,In Progress
1096,456,105,19,Perform Medical duties in assigned zone area.,Scheduled
1097,1225,183,31,Perform Facilities duties in assigned zone area.,Completed
1098,97,118,26,Perform Medical duties in assigned zone area.,In Progress
1099,1349,212,5,Perform Security duties in assigned zone area.,Scheduled
1100,555,244,33,Perform Facilities duties in assigned zone area.,Completed
1101,394,212,5,Perform Guest Services duties in assigned zone area.,Scheduled
1102,431,183,15,Perform Administration duties in assigned zone area.,Completed
1103,1414,170,5,Perform Crowd Control duties in assigned zone area.,In Progress
1104,451,172,40,Perform Security duties in assigned zone area.,Completed
1105,685,177,32,Perform Medical duties in assigned zone area.,Completed
1106,1241,186,29,Perform Administration duties in assigned zone area.,In Progress
1107,226,140,14,Perform Guest Services duties in assigned zone area.,Completed
1108,1347,107,12,Perform Crowd Control duties in assigned zone area.,Completed
1109,1419,123,6,Perform Administration duties in assigned zone area.,Completed
1110,614,140,28,Perform Crowd Control duties in assigned zone area.,Scheduled
1111,318,193,25,Perform Medical duties in assigned zone area.,In Progress
1112,776,190,30,Perform Guest Services duties in assigned zone area.,In Progress
1113,1238,188,9,Perform Facilities duties in assigned zone area.,In Progress
1114,1030,109,21,Perform Security duties in assigned zone area.,In Progress
1115,180,126,37,Perform Facilities duties in assigned zone area.,Completed
1116,592,153,33,Perform Security duties in assigned zone area.,Completed
1117,479,139,24,Perform Guest Services duties in assigned zone area.,Absent
1118,1300,110,15,Perform Facilities duties in assigned zone area.,In Progress
1119,1216,111,17,Perform Security duties in assigned zone area.,In Progress
1120,102,110,25,Perform Security duties in assigned zone area.,In Progress
1121,445,121,28,Perform Guest Services duties in assigned zone area.,Completed
1122,455,123,31,Perform Administration duties in assigned zone area.,Scheduled
1123,1487,209,10,Perform Medical duties in assigned zone area.,In Progress
1124,546,250,16,Perform Security duties in assigned zone area.,Completed
1125,16,130,9,Perform Crowd Control duties in assigned zone area.,Completed
1126,378,124,31,Perform Medical duties in assigned zone area.,Completed
1127,1379,110,6,Perform Security duties in assigned zone area.,Absent
1128,738,176,36,Perform Medical duties in assigned zone area.,Completed
1129,388,216,18,Perform Crowd Control duties in assigned zone area.,In Progress
1130,673,168,39,Perform Facilities duties in assigned zone area.,In Progress
1131,1367,194,33,Perform Crowd Control duties in assigned zone area.,Completed
1132,612,244,24,Perform Facilities duties in assigned zone area.,Completed
1133,9,209,34,Perform Guest Services duties in assigned zone area.,In Progress
1134,551,183,34,Perform Facilities duties in assigned zone area.,In Progress
1135,214,200,20,Perform Guest Services duties in assigned zone area.,Scheduled
1136,1388,250,19,Perform Facilities duties in assigned zone area.,In Progress
1137,962,105,35,Perform Security duties in assigned zone area.,Completed
1138,695,173,21,Perform Crowd Control duties in assigned zone area.,Completed
1139,1284,132,33,Perform Medical duties in assigned zone area.,In Progress
1140,579,208,16,Perform Administration duties in assigned zone area.,Completed
1141,923,136,11,Perform Medical duties in assigned zone area.,In Progress
1142,468,210,19,Perform Security duties in assigned zone area.,Completed
1143,592,117,28,Perform Security duties in assigned zone area.,In Progress
1144,1180,227,27,Perform Administration duties in assigned zone area.,In Progress
1145,691,220,27,Perform Crowd Control duties in assigned zone area.,Completed
1146,234,109,34,Perform Security duties in assigned zone area.,Scheduled
1147,1047,214,12,Perform Security duties in assigned zone area.,In Progress
1148,25,224,12,Perform Guest Services duties in assigned zone area.,In Progress
1149,1245,207,13,Perform Facilities duties in assigned zone area.,In Progress
1150,1170,192,6,Perform Administration duties in assigned zone area.,Completed
1151,246,232,39,Perform Medical duties in assigned zone area.,Completed
1152,550,221,33,Perform Guest Services duties in assigned zone area.,Scheduled
1153,1170,184,4,Perform Administration duties in assigned zone area.,Completed
1154,1183,138,8,Perform Crowd Control duties in assigned zone area.,Scheduled
1155,1359,151,13,Perform Administration duties in assigned zone area.,Completed
1156,1303,106,26,Perform Medical duties in assigned zone area.,Completed
1157,1406,178,6,Perform Medical duties in assigned zone area.,Completed
1158,337,201,35,Perform Facilities duties in assigned zone area.,Completed
1159,1430,182,9,Perform Administration duties in assigned zone area.,Scheduled
1160,1120,106,16,Perform Medical duties in assigned zone area.,In Progress
1161,607,238,11,Perform Administration duties in assigned zone area.,In Progress
1162,1059,185,37,Perform Medical duties in assigned zone area.,In Progress
1163,628,162,35,Perform Administration duties in assigned zone area.,In Progress
1164,1157,136,2,Perform Administration duties in assigned zone area.,Completed
1165,685,227,23,Perform Medical duties in assigned zone area.,Completed
1166,615,215,9,Perform Crowd Control duties in assigned zone area.,Completed
1167,548,207,11,Perform Crowd Control duties in assigned zone area.,In Progress
1168,9,129,40,Perform Guest Services duties in assigned zone area.,In Progress
1169,1171,168,33,Perform Crowd Control duties in assigned zone area.,In Progress
1170,1333,106,14,Perform Security duties in assigned zone area.,In Progress
1171,175,172,5,Perform Medical duties in assigned zone area.,Completed
1172,1064,195,29,Perform Administration duties in assigned zone area.,Completed
1173,1439,119,20,Perform Crowd Control duties in assigned zone area.,Completed
1174,444,230,32,Perform Facilities duties in assigned zone area.,In Progress
1175,865,106,1,Perform Guest Services duties in assigned zone area.,Completed
1176,96,222,12,Perform Crowd Control duties in assigned zone area.,In Progress
1177,21,174,6,Perform Security duties in assigned zone area.,In Progress
1178,257,155,14,Perform Security duties in assigned zone area.,In Progress
1179,102,133,23,Perform Security duties in assigned zone area.,Completed
1180,1043,141,28,Perform Administration duties in assigned zone area.,Scheduled
1181,1054,181,27,Perform Facilities duties in assigned zone area.,Completed
1182,43,174,15,Perform Crowd Control duties in assigned zone area.,Completed
1183,824,227,22,Perform Facilities duties in assigned zone area.,In Progress
1184,257,167,24,Perform Security duties in assigned zone area.,In Progress
1185,217,134,36,Perform Guest Services duties in assigned zone area.,In Progress
1186,1299,139,11,Perform Security duties in assigned zone area.,In Progress
1187,94,209,20,Perform Crowd Control duties in assigned zone area.,Completed
1188,1270,109,23,Perform Medical duties in assigned zone area.,Scheduled
1189,1420,170,11,Perform Administration duties in assigned zone area.,In Progress
1190,262,221,30,Perform Facilities duties in assigned zone area.,Completed
1191,151,202,22,Perform Crowd Control duties in assigned zone area.,In Progress
1192,792,216,1,Perform Medical duties in assigned zone area.,Completed
1193,11,248,28,Perform Administration duties in assigned zone area.,Completed
1194,1392,176,18,Perform Guest Services duties in assigned zone area.,In Progress
1195,447,107,3,Perform Crowd Control duties in assigned zone area.,Completed
1196,181,124,8,Perform Security duties in assigned zone area.,In Progress
1197,393,132,4,Perform Crowd Control duties in assigned zone area.,Completed
1198,65,105,13,Perform Crowd Control duties in assigned zone area.,Scheduled
1199,558,225,18,Perform Facilities duties in assigned zone area.,In Progress
1200,337,128,34,Perform Facilities duties in assigned zone area.,Completed
1201,1236,180,14,Perform Guest Services duties in assigned zone area.,Completed
1202,270,157,22,Perform Crowd Control duties in assigned zone area.,Completed
1203,623,180,13,Perform Facilities duties in assigned zone area.,In Progress
1204,500,138,40,Perform Security duties in assigned zone area.,Completed
1205,73,162,14,Perform Administration duties in assigned zone area.,In Progress
1206,878,102,1,Perform Crowd Control duties in assigned zone area.,Completed
1207,189,111,7,Perform Guest Services duties in assigned zone area.,Completed
1208,1021,157,13,Perform Medical duties in assigned zone area.,Completed
1209,994,110,35,Perform Administration duties in assigned zone area.,In Progress
1210,1401,202,27,Perform Medical duties in assigned zone area.,Scheduled
1211,742,195,35,Perform Security duties in assigned zone area.,In Progress
1212,604,236,9,Perform Crowd Control duties in assigned zone area.,In Progress
1213,960,179,30,Perform Crowd Control duties in assigned zone area.,In Progress
1214,802,250,11,Perform Security duties in assigned zone area.,In Progress
1215,237,187,21,Perform Facilities duties in assigned zone area.,Completed
1216,1200,247,29,Perform Crowd Control duties in assigned zone area.,In Progress
1217,761,169,35,Perform Facilities duties in assigned zone area.,Completed
1218,739,231,1,Perform Security duties in assigned zone area.,Completed
1219,1097,148,34,Perform Crowd Control duties in assigned zone area.,Completed
1220,1068,149,5,Perform Facilities duties in assigned zone area.,In Progress
1221,1152,129,3,Perform Administration duties in assigned zone area.,Completed
1222,695,106,37,Perform Crowd Control duties in assigned zone area.,Completed
1223,463,120,11,Perform Medical duties in assigned zone area.,In Progress
1224,411,193,15,Perform Security duties in assigned zone area.,In Progress
1225,203,187,22,Perform Facilities duties in assigned zone area.,Completed
1226,506,211,5,Perform Medical duties in assigned zone area.,Scheduled
1227,678,136,40,Perform Security duties in assigned zone area.,In Progress
1228,807,191,13,Perform Security duties in assigned zone area.,Completed
1229,95,172,20,Perform Medical duties in assigned zone area.,In Progress
1230,1349,142,26,Perform Security duties in assigned zone area.,Scheduled
1231,285,189,35,Perform Administration duties in assigned zone area.,In Progress
1232,617,206,15,Perform Guest Services duties in assigned zone area.,Scheduled
1233,333,238,27,Perform Security duties in assigned zone area.,In Progress
1234,1456,198,30,Perform Medical duties in assigned zone area.,In Progress
1235,660,129,40,Perform Administration duties in assigned zone area.,Scheduled
1236,357,192,28,Perform Facilities duties in assigned zone area.,Completed
1237,1212,105,34,Perform Guest Services duties in assigned zone area.,Completed
1238,955,233,40,Perform Security duties in assigned zone area.,In Progress
1239,1274,246,2,Perform Guest Services duties in assigned zone area.,Completed
1240,1298,229,28,Perform Medical duties in assigned zone area.,In Progress
1241,1018,104,24,Perform Medical duties in assigned zone area.,Scheduled
1242,254,249,23,Perform Security duties in assigned zone area.,Scheduled
1243,113,131,40,Perform Guest Services duties in assigned zone area.,Completed
1244,1440,149,31,Perform Administration duties in assigned zone area.,Completed
1245,1103,211,19,Perform Guest Services duties in assigned zone area.,In Progress
1246,720,102,2,Perform Guest Services duties in assigned zone area.,In Progress
1247,996,212,2,Perform Facilities duties in assigned zone area.,Completed
1248,1106,110,1,Perform Administration duties in assigned zone area.,Completed
1249,1293,149,7,Perform Administration duties in assigned zone area.,Completed
1250,851,107,26,Perform Administration duties in assigned zone area.,Scheduled
1251,113,243,9,Perform Guest Services duties in assigned zone area.,In Progress
1252,1115,164,21,Perform Facilities duties in assigned zone area.,Completed
1253,153,115,14,Perform Administration duties in assigned zone area.,Completed
1254,477,183,13,Perform Administration duties in assigned zone area.,In Progress
1255,1483,208,33,Perform Administration duties in assigned zone area.,In Progress
1256,1133,112,19,Perform Crowd Control duties in assigned zone area.,Completed
1257,194,218,16,Perform Facilities duties in assigned zone area.,Completed
1258,541,229,19,Perform Medical duties in assigned zone area.,Completed
1259,270,215,25,Perform Crowd Control duties in assigned zone area.,Completed
1260,146,226,28,Perform Medical duties in assigned zone area.,In Progress
1261,515,133,12,Perform Crowd Control duties in assigned zone area.,Completed
1262,699,188,16,Perform Administration duties in assigned zone area.,In Progress
1263,758,239,26,Perform Guest Services duties in assigned zone area.,Completed
1264,1445,125,14,Perform Facilities duties in assigned zone area.,In Progress
1265,306,107,34,Perform Facilities duties in assigned zone area.,Completed
1266,1121,146,22,Perform Administration duties in assigned zone area.,Completed
1267,567,133,17,Perform Medical duties in assigned zone area.,In Progress
1268,679,120,40,Perform Medical duties in assigned zone area.,Absent
1269,5,172,8,Perform Medical duties in assigned zone area.,Completed
1270,1121,179,21,Perform Administration duties in assigned zone area.,In Progress
1271,1382,209,15,Perform Facilities duties in assigned zone area.,Completed
1272,915,203,21,Perform Crowd Control duties in assigned zone area.,Completed
1273,285,226,9,Perform Administration duties in assigned zone area.,Completed
1274,169,234,17,Perform Administration duties in assigned zone area.,In Progress
1275,402,163,40,Perform Administration duties in assigned zone area.,In Progress
1276,1215,147,5,Perform Facilities duties in assigned zone area.,Completed
1277,1357,132,34,Perform Medical duties in assigned zone area.,Completed
1278,1074,142,23,Perform Medical duties in assigned zone area.,In Progress
1279,1022,235,18,Perform Guest Services duties in assigned zone area.,Scheduled
1280,867,135,25,Perform Medical duties in assigned zone area.,In Progress
1281,241,184,6,Perform Security duties in assigned zone area.,In Progress
1282,1259,143,19,Perform Security duties in assigned zone area.,Completed
1283,755,243,36,Perform Medical duties in assigned zone area.,Completed
1284,443,189,14,Perform Security duties in assigned zone area.,In Progress
1285,1338,136,1,Perform Medical duties in assigned zone area.,Completed
1286,1267,244,24,Perform Guest Services duties in assigned zone area.,Scheduled
1287,930,210,37,Perform Administration duties in assigned zone area.,Completed
1288,1260,244,14,Perform Administration duties in assigned zone area.,In Progress
1289,1402,210,20,Perform Administration duties in assigned zone area.,Completed
1290,229,171,30,Perform Medical duties in assigned zone area.,Completed
1291,124,215,5,Perform Facilities duties in assigned zone area.,Completed
1292,1233,226,27,Perform Administration duties in assigned zone area.,In Progress
1293,1177,197,24,Perform Security duties in assigned zone area.,Completed
1294,1281,172,23,Perform Guest Services duties in assigned zone area.,Completed
1295,1294,177,4,Perform Facilities duties in assigned zone area.,Completed
1296,506,103,19,Perform Medical duties in assigned zone area.,In Progress
1297,228,120,8,Perform Administration duties in assigned zone area.,In Progress
1298,1027,206,3,Perform Facilities duties in assigned zone area.,Completed
1299,1005,211,4,Perform Medical duties in assigned zone area.,Completed
1300,217,195,22,Perform Guest Services duties in assigned zone area.,Completed
1301,963,195,29,Perform Facilities duties in assigned zone area.,Completed
1302,1132,217,13,Perform Guest Services duties in assigned zone area.,In Progress
1303,320,134,20,Perform Administration duties in assigned zone area.,Completed
1304,984,249,16,Perform Administration duties in assigned zone area.,In Progress
1305,412,135,39,Perform Facilities duties in assigned zone area.,Completed
1306,1234,174,15,Perform Administration duties in assigned zone area.,In Progress
1307,784,108,3,Perform Facilities duties in assigned zone area.,In Progress
1308,984,112,8,Perform Administration duties in assigned zone area.,In Progress
1309,1233,161,5,Perform Administration duties in assigned zone area.,Completed
1310,1219,181,28,Perform Medical duties in assigned zone area.,Completed
1311,117,243,39,Perform Guest Services duties in assigned zone area.,Completed
1312,1450,168,27,Perform Medical duties in assigned zone area.,In Progress
1313,1477,214,25,Perform Security duties in assigned zone area.,Completed
1314,1445,149,31,Perform Facilities duties in assigned zone area.,Completed
1315,1167,132,17,Perform Crowd Control duties in assigned zone area.,In Progress
1316,1277,236,13,Perform Security duties in assigned zone area.,Completed
1317,1083,134,16,Perform Security duties in assigned zone area.,In Progress
1318,26,151,35,Perform Facilities duties in assigned zone area.,Completed
1319,604,211,24,Perform Crowd Control duties in assigned zone area.,Completed
1320,1203,143,29,Perform Facilities duties in assigned zone area.,Scheduled
1321,1394,137,5,Perform Crowd Control duties in assigned zone area.,In Progress
1322,54,207,27,Perform Administration duties in assigned zone area.,Absent
1323,494,125,33,Perform Administration duties in assigned zone area.,Completed
1324,1313,112,24,Perform Administration duties in assigned zone area.,In Progress
1325,1262,217,20,Perform Guest Services duties in assigned zone area.,In Progress
1326,1332,142,21,Perform Facilities duties in assigned zone area.,Scheduled
1327,54,112,9,Perform Administration duties in assigned zone area.,In Progress
1328,399,166,14,Perform Medical duties in assigned zone area.,Completed
1329,734,158,3,Perform Facilities duties in assigned zone area.,In Progress
1330,504,156,8,Perform Facilities duties in assigned zone area.,In Progress
1331,162,199,22,Perform Facilities duties in assigned zone area.,In Progress
1332,566,102,22,Perform Security duties in assigned zone area.,In Progress
1333,1195,228,30,Perform Facilities duties in assigned zone area.,Completed
1334,1489,157,33,Perform Security duties in assigned zone area.,In Progress
1335,789,242,29,Perform Crowd Control duties in assigned zone area.,Completed
1336,99,155,38,Perform Facilities duties in assigned zone area.,In Progress
1337,1161,131,6,Perform Medical duties in assigned zone area.,Completed
1338,602,114,1,Perform Crowd Control duties in assigned zone area.,In Progress
1339,969,241,5,Perform Security duties in assigned zone area.,In Progress
1340,23,233,33,Perform Crowd Control duties in assigned zone area.,Completed
1341,993,151,28,Perform Guest Services duties in assigned zone area.,Completed
1342,1087,162,29,Perform Crowd Control duties in assigned zone area.,Completed
1343,383,129,1,Perform Guest Services duties in assigned zone area.,In Progress
1344,697,208,27,Perform Guest Services duties in assigned zone area.,Completed
1345,859,123,34,Perform Facilities duties in assigned zone area.,Completed
1346,780,128,19,Perform Facilities duties in assigned zone area.,In Progress
1347,1063,163,6,Perform Security duties in assigned zone area.,Completed
1348,718,129,20,Perform Security duties in assigned zone area.,In Progress
1349,256,103,8,Perform Crowd Control duties in assigned zone area.,Absent
1350,1321,226,24,Perform Crowd Control duties in assigned zone area.,Completed
1351,121,175,40,Perform Crowd Control duties in assigned zone area.,In Progress
1352,584,241,19,Perform Crowd Control duties in assigned zone area.,Completed
1353,642,230,24,Perform Crowd Control duties in assigned zone area.,Scheduled
1354,761,185,23,Perform Facilities duties in assigned zone area.,In Progress
1355,1338,207,11,Perform Medical duties in assigned zone area.,In Progress
1356,979,197,5,Perform Administration duties in assigned zone area.,Completed
1357,839,223,38,Perform Medical duties in assigned zone area.,Scheduled
1358,61,195,14,Perform Crowd Control duties in assigned zone area.,Completed
1359,591,129,26,Perform Crowd Control duties in assigned zone area.,In Progress
1360,604,245,14,Perform Crowd Control duties in assigned zone area.,Scheduled
1361,528,134,1,Perform Crowd Control duties in assigned zone area.,Scheduled
1362,1438,169,40,Perform Guest Services duties in assigned zone area.,Completed
1363,1100,239,6,Perform Medical duties in assigned zone area.,In Progress
1364,1478,126,7,Perform Facilities duties in assigned zone area.,In Progress
1365,291,140,19,Perform Facilities duties in assigned zone area.,In Progress
1366,1357,179,14,Perform Medical duties in assigned zone area.,Completed
1367,1031,145,22,Perform Guest Services duties in assigned zone area.,Completed
1368,1448,241,19,Perform Administration duties in assigned zone area.,Completed
1369,365,140,36,Perform Guest Services duties in assigned zone area.,Completed
1370,1221,101,23,Perform Facilities duties in assigned zone area.,In Progress
1371,1205,108,23,Perform Facilities duties in assigned zone area.,In Progress
1372,35,241,28,Perform Guest Services duties in assigned zone area.,Completed
1373,611,239,28,Perform Security duties in assigned zone area.,In Progress
1374,23,197,15,Perform Crowd Control duties in assigned zone area.,In Progress
